sheetType	Underlying description	Und. Price	Underlying currency	Trade	Trade time	Settle	Price (Total)	Price (Share)	Price (%)	Currency	Delta (%)	Gamma (%)	Vega	Theta	Rho	Time Value	Gearing	Break-Even (%)	Strategy	Exercise	Call/Put	Direction	Strike	Strike	Shares	Expiry	Time to Expiry	Model	Vol	Forward	USD||Rate	Dividend Yield	Discounted Div Flow	Borrow Cost	
WC	S&P 500 INDEX	1281.03	USD	05/26/2006	16:15:00	05/26/2006	-8.23	-8.2302	-0.6425	USD	-51.51	-25.6845	-0.71	0.61	0	-8.23	-155.65	0.64	American Vanilla	American	Call	Sell	1281.03	ATM	1	06/02/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 11.202	1280.78	5.2269	2.5172	0.62	0	
WP	S&P 500 INDEX	1281.03	USD	05/26/2006	16:15:00	05/26/2006	-7.63	-7.6254	-0.5953	USD	48.7	-25.8873	-0.71	0.53	0	-7.63	-167.99	-0.6	American Vanilla	American	Put	Sell	1281.03	ATM	1	06/02/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 11.202	1280.78	5.2269	2.5172	0.62	0	
WC	S&P 500 INDEX	1288.09	USD	06/02/2006	16:15:00	06/02/2006	-10.03	-10.0316	-0.7788	USD	-51.71	-21.2749	-0.71	0.75	0	-10.03	-128.4	0.78	American Vanilla	American	Call	Sell	1288.09	ATM	1	06/09/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 13.523	1288.21	5.27	1.7751	0.44	0	
WP	S&P 500 INDEX	1288.09	USD	06/02/2006	16:15:00	06/02/2006	-9.24	-9.2352	-0.717	USD	48.57	-21.4924	-0.71	0.64	0	-9.24	-139.48	-0.72	American Vanilla	American	Put	Sell	1288.09	ATM	1	06/09/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 13.523	1288.21	5.27	1.7751	0.44	0	
WC	S&P 500 INDEX	1251.99	USD	06/09/2006	16:15:00	06/09/2006	-9.77	-9.7713	-0.7805	USD	-51.75	-21.2525	-0.69	0.73	0	-9.77	-128.13	0.78	American Vanilla	American	Call	Sell	1251.99	ATM	1	06/16/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 13.537	1252.13	5.31	1.7218	0.41	0	
WP	S&P 500 INDEX	1251.99	USD	06/09/2006	16:15:00	06/09/2006	-8.98	-8.9768	-0.717	USD	48.54	-21.4786	-0.69	0.62	0	-8.98	-139.47	-0.72	American Vanilla	American	Put	Sell	1251.99	ATM	1	06/16/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 13.537	1252.13	5.31	1.7218	0.41	0	
WC	S&P 500 INDEX	1251.45	USD	06/16/2006	16:15:00	06/16/2006	-10.67	-10.6653	-0.8522	USD	-51.8	-19.4713	-0.69	0.79	0	-10.67	-117.34	0.85	American Vanilla	American	Call	Sell	1251.45	ATM	1	06/23/2006 - 16:15	7 - 00:00	BS - continuous	14.776	1251.66	5.4138	1.472	0.35	0	
WP	S&P 500 INDEX	1251.45	USD	06/16/2006	16:15:00	06/16/2006	-9.79	-9.7943	-0.7826	USD	48.51	-19.6877	-0.69	0.68	0	-9.79	-127.77	-0.78	American Vanilla	American	Put	Sell	1251.45	ATM	1	06/23/2006 - 16:15	7 - 00:00	BS - continuous	14.776	1251.66	5.4138	1.472	0.35	0	
WC	S&P 500 INDEX	1244.76	USD	06/23/2006	16:15:00	06/23/2006	-9.54	-9.5391	-0.7663	USD	-52.04	-21.8414	-0.69	0.72	0	-9.54	-130.49	0.77	American Vanilla	American	Call	Sell	1244.76	ATM	1	06/30/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 13.169	1245.02	5.48	1.2591	0.3	0	
WP	S&P 500 INDEX	1244.76	USD	06/23/2006	16:15:00	06/23/2006	-8.61	-8.6101	-0.6917	USD	48.35	-22.1483	-0.69	0.59	0	-8.61	-144.57	-0.69	American Vanilla	American	Put	Sell	1244.76	ATM	1	06/30/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 13.169	1245.02	5.48	1.2591	0.3	0	
